organization_code,organization_full_name
Baltic_Cellulose_factory_committee,Baltijas Celulozes fabrikas komiteja
Communist_students_united_antifascist_struggle_committee,Komunistisko studentu vienota pretfašisma cīņas komiteja
Delka_factory_workers_committee,"Fabrikas ""Delka"" strādnieku komiteja"
Feldhuna_factory_unit_group,"""Feldhūna"" fabrikas vienības grupa"
Feldhuna_workers_unit_group,"""Feldhūna"" strādnieku vienības grupa"
KJI_Sarkana_forstadte,Komunistiskā Jaunatnes Internacionāle — Sarkanā forštadte
LDJS,Latvijas Darba jaunatnes savienība
LDJS_Auce_org,Latvijas Darba jaunatnes savienības Auces organizācija
LDJS_CK,Latvijas Darba jaunatnes savienības Centrālā komiteja
LDJS_Daugavpils_org_I_district_committee,Latvijas Darba jaunatnes savienības Daugavpils organizācijas I rajona komiteja
LDJS_II_district_committee,Latvijas Darba jaunatnes savienības II rajona komiteja
LDJS_Latgale_regional_committee,Latvijas Darba jaunatnes savienības Latgales apgabala komiteja
LDJS_Riga_committee,Latvijas Darba jaunatnes savienības Rīgas komiteja
LDJS_Riga_org_II_district_committee,Latvijas Darba jaunatnes savienības Rīgas pilsētas organizācijas II rajona komiteja
LKJS,Latvijas Komunistiskā jaunatnes savienība
LKJS_Bauska_district_committee,Latvijas Komunistiskās jaunatnes savienības Bauskas rajona komiteja
LKJS_Benes_district_committee,Latvijas Komunistiskās jaunatnes savienības Bēnes rajona komiteja
LKJS_CK,Latvijas Komunistiskās jaunatnes savienības Centrālā komiteja
LKJS_CK_LKJS_Latgale_regional_committee,Latvijas Komunistiskās jaunatnes savienības Centrālā komiteja un Latvijas Komunistiskās jaunatnes savienības Latgales apgabala komiteja
LKJS_CK_LKJS_Riga_committee,Latvijas Komunistiskās jaunatnes savienības Centrālā komiteja un Latvijas Komunistiskās jaunatnes savienības Rīgas komiteja
LKJS_CK_LKP_Riga_committee,Latvijas Komunistiskās jaunatnes savienības Centrālā komiteja un Latvijas Komunistiskās partijas Rīgas komiteja
LKJS_CK_LSJS_CK,Latvijas Komunistiskās jaunatnes savienības Centrālā komiteja un Latvijas Sociālistiskās jaunatnes savienības Centrālā komiteja
LKJS_Daugavpils_city_committee,Latvijas Komunistiskās jaunatnes savienības Daugavpils pilsētas komiteja
LKJS_Jurmala_district_committee,Latvijas Komunistiskās jaunatnes savienības Jūrmalas rajona komiteja
LKJS_LSJS_Riga_org_United_antifascist_committee,Latvijas Komunistiskās jaunatnes savienības un Latvijas Sociālistiskās jaunatnes savienības Rīgas organizāciju vienotās pretfašisma cīņas komiteja
LKJS_LSJS_Riga_students_united_struggle_committee,Latvijas Komunistiskās jaunatnes savienības un Latvijas Sociālistiskās jaunatnes savienības Rīgas skolēnu vienotās cīņas komiteja
LKJS_Riga_committee,Latvijas Komunistiskās jaunatnes savienības Rīgas komiteja
LKJS_Riga_org_III_district_committee,Latvijas Komunistiskās jaunatnes savienības Rīgas organizācijas III rajona komiteja
LKJS_Riga_org_IV_district_X_cell,Latvijas Komunistiskās jaunatnes savienības Rīgas organizācijas IV rajona X šūna
LKJS_Riga_org_IV_district_committee,Latvijas Komunistiskās jaunatnes savienības Rīgas organizācijas IV rajona komiteja
LKJS_Riga_org_IV_district_committee_LSJS_Riga_org_I_district_committee,Latvijas Komunistiskās jaunatnes savienības Rīgas organizācijas IV rajona un Latvijas Sociālistiskās jaunatnes savienības Rīgas organizācijas I rajona vienības komiteja
LKJS_Riga_org_I_district_tailors_cell,Latvijas Komunistiskās jaunatnes savienības Rīgas organizācijas 1. rajona drēbnieku šūna
